ticker,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,USDJPY=X,USDJPY=X,USDJPY=X,USDJPY=X,USDJPY=X,USDJPY=X,USDJPY=X
indicator,sma,ema,rsi,macd,bollinger_bands,stochastic,adx,sma,ema,rsi,macd,bollinger_bands,stochastic,adx
Datetime,,,,,,,,,,,,,,
2026-01-16 07:30:00+00:00,-1,-1,0,1,0,1,Strong Trend,-1,-1,0,-1,1,-1,sideways
2026-01-16 08:30:00+00:00,-1,-1,0,1,0,1,Strong Trend,-1,-1,0,-1,1,-1,Developing Trend
2026-01-16 09:30:00+00:00,-1,-1,0,1,0,-1,Strong Trend,-1,-1,0,-1,0,1,Developing Trend
2026-01-16 10:30:00+00:00,-1,-1,0,1,0,-1,Strong Trend,-1,-1,0,-1,0,1,Developing Trend
2026-01-16 11:30:00+00:00,-1,-1,0,1,0,1,Strong Trend,-1,-1,0,-1,0,1,Developing Trend
2026-01-16 12:30:00+00:00,1,-1,0,1,0,1,Strong Trend,-1,-1,0,-1,0,-1,Developing Trend
2026-01-16 13:30:00+00:00,1,-1,0,1,0,1,Strong Trend,-1,-1,0,-1,0,-1,Developing Trend
2026-01-16 14:30:00+00:00,1,-1,0,1,0,-1,Strong Trend,-1,-1,0,-1,0,1,Strong Trend
2026-01-16 15:30:00+00:00,1,-1,0,1,0,1,Strong Trend,-1,-1,0,-1,0,-1,Strong Trend
2026-01-16 16:30:00+00:00,1,-1,0,1,-1,1,Strong Trend,-1,-1,0,-1,0,-1,Strong Trend
2026-01-16 17:30:00+00:00,1,-1,0,1,-1,1,Strong Trend,-1,-1,0,-1,0,1,Strong Trend
2026-01-16 18:30:00+00:00,1,1,0,1,0,-1,Strong Trend,-1,-1,0,-1,0,-1,Strong Trend
2026-01-16 19:30:00+00:00,1,1,0,1,0,-1,Strong Trend,-1,-1,0,-1,0,-1,Strong Trend
2026-01-16 20:30:00+00:00,1,-1,0,1,1,-1,Strong Trend,-1,-1,0,-1,0,1,Strong Trend
2026-01-16 21:30:00+00:00,1,-1,0,-1,0,-1,Strong Trend,-1,-1,0,-1,0,1,Strong Trend
2026-01-16 22:30:00+00:00,1,-1,0,-1,0,1,Strong Trend,-1,-1,0,-1,0,1,Strong Trend
2026-01-16 23:30:00+00:00,-1,-1,0,-1,0,-1,Strong Trend,-1,-1,0,1,0,1,Strong Trend
2026-01-17 00:30:00+00:00,-1,-1,0,-1,0,0,Strong Trend,-1,-1,0,1,0,1,Strong Trend
2026-01-17 01:30:00+00:00,-1,-1,0,-1,0,1,Strong Trend,-1,-1,0,1,0,-1,Strong Trend
2026-01-17 02:30:00+00:00,-1,-1,0,-1,0,1,Strong Trend,-1,-1,0,1,0,-1,Strong Trend
2026-01-19 05:30:00+00:00,-1,-1,0,1,-1,1,Strong Trend,-1,-1,1,-1,1,-1,Strong Trend
2026-01-19 06:30:00+00:00,-1,1,0,1,0,1,Strong Trend,-1,-1,0,-1,0,-1,Strong Trend
2026-01-19 07:30:00+00:00,-1,1,0,1,0,-1,Strong Trend,-1,-1,0,-1,0,1,Strong Trend
